filename,width,height,class,xmin,ymin,xmax,ymax
aa258.jpg,1200,1152,Fanta,23,62,375,896
aa258.jpg,1200,1152,Fanta,165,116,722,949
aa258.jpg,1200,1152,Fanta,483,278,1002,984
aa350.jpg,498,395,Fanta,198,5,323,309
drpepper_0_2648.jpg,1600,1067,Drpepper,38,21,665,1067
drpepper_0_2648.jpg,1600,1067,Drpepper,391,229,894,1046
drpepper_0_2648.jpg,1600,1067,Drpepper,763,363,1265,1067
drpepper_0_3602.jpg,225,225,Drpepper,74,21,218,225
drpepper_0_1920.jpg,283,178,Drpepper,3,4,44,153
drpepper_0_1920.jpg,283,178,Drpepper,50,8,102,159
drpepper_0_1920.jpg,283,178,Drpepper,101,16,155,157
drpepper_0_1920.jpg,283,178,Drpepper,153,12,211,165
drpepper_0_1920.jpg,283,178,Drpepper,207,8,260,163
drpepper_0_3759.jpg,205,185,Drpepper,13,5,127,166
drpepper_0_4065.jpg,636,900,Drpepper,81,203,548,873
drpepper_0_4065.jpg,636,900,Drpepper,220,105,636,785
aa362.jpg,1300,953,Fanta,249,6,852,780
aa362.jpg,1300,953,Fanta,607,52,1193,894
drpepper_0_3885.jpg,982,648,Drpepper,93,100,427,630
drpepper_0_3885.jpg,982,648,Drpepper,354,78,656,635
drpepper_0_3885.jpg,982,648,Drpepper,636,60,957,631
aa451.jpg,262,192,Fanta,78,51,139,167
aa451.jpg,262,192,Fanta,50,69,117,182
aa451.jpg,262,192,Fanta,21,85,92,192
drpepper_0_4098.jpg,500,500,Drpepper,72,248,309,464
drpepper_0_4098.jpg,500,500,Drpepper,161,174,377,401
drpepper_0_4098.jpg,500,500,Drpepper,250,116,469,340
drpepper_0_4098.jpg,500,500,Drpepper,327,52,500,268
drpepper_0_4098.jpg,500,500,Drpepper,21,261,230,475
drpepper_0_3143.jpg,512,512,Drpepper,91,54,301,433
drpepper_0_3143.jpg,512,512,Drpepper,250,105,416,437
drpepper_0_3143.jpg,512,512,Drpepper,321,133,512,496
aa202.jpg,500,500,Fanta,73,3,419,342
aa202.jpg,500,500,Fanta,1,64,277,447
aa328.jpg,1600,1600,Fanta,350,211,1260,1433
aa30.jpg,1300,956,Fanta,435,478,523,793
aa30.jpg,1300,956,Fanta,523,469,621,793
aa30.jpg,1300,956,Fanta,620,468,713,797
aa30.jpg,1300,956,Fanta,712,469,816,786
aa30.jpg,1300,956,Fanta,813,465,897,780
aa30.jpg,1300,956,Fanta,898,462,990,776
aa30.jpg,1300,956,Fanta,989,457,1077,774
aa30.jpg,1300,956,Fanta,1078,454,1164,776
aa30.jpg,1300,956,Fanta,1158,452,1249,769
aa30.jpg,1300,956,Fanta,1245,450,1300,762
aa30.jpg,1300,956,Fanta,451,21,527,347
aa30.jpg,1300,956,Fanta,529,23,626,347
aa30.jpg,1300,956,Fanta,625,21,730,354
aa30.jpg,1300,956,Fanta,728,24,828,350
aa30.jpg,1300,956,Fanta,828,23,927,355
aa30.jpg,1300,956,Fanta,925,27,1014,365
drpepper_0_1868.jpg,299,168,Drpepper,5,23,156,168
drpepper_0_1868.jpg,299,168,Drpepper,103,9,219,152
drpepper_0_1868.jpg,299,168,Drpepper,173,5,299,139
drpepper_0_1361.jpg,982,648,Drpepper,99,99,513,632
drpepper_0_1361.jpg,982,648,Drpepper,348,15,749,568
drpepper_0_1361.jpg,982,648,Drpepper,578,14,981,478
48.jpg,1200,857,Drpepper,22,115,228,794
48.jpg,1200,857,Drpepper,226,117,424,803
48.jpg,1200,857,Drpepper,411,118,600,804
48.jpg,1200,857,Drpepper,598,117,787,794
48.jpg,1200,857,Drpepper,788,117,993,801
48.jpg,1200,857,Drpepper,988,109,1173,809
aa323.jpg,1300,601,Fanta,957,7,1217,534
aa457.jpg,225,225,Fanta,67,28,222,225
aa386.jpg,1200,1152,Fanta,23,12,590,742
aa386.jpg,1200,1152,Fanta,356,6,909,594
aa80.jpg,954,544,Fanta,300,38,486,520
aa80.jpg,954,544,Fanta,697,11,875,518
drpepper_0_2809.jpg,275,183,Drpepper,23,7,127,183
drpepper_0_2809.jpg,275,183,Drpepper,132,21,212,183
drpepper_0_2809.jpg,275,183,Drpepper,210,51,275,183
aa314.jpg,612,405,Fanta,173,50,473,285
aa48.jpg,1280,720,Fanta,489,5,811,714
aa48.jpg,1280,720,Fanta,174,4,490,720
aa48.jpg,1280,720,Fanta,823,7,1151,704
aa18.jpg,500,500,Fanta,255,16,395,482
aa18.jpg,500,500,Fanta,99,15,240,486
drpepper_0_1029.jpg,1400,1400,Drpepper,43,106,664,1164
drpepper_0_1029.jpg,1400,1400,Drpepper,479,416,814,1125
drpepper_0_1029.jpg,1400,1400,Drpepper,630,559,1008,1196
drpepper_0_916.jpg,1133,837,Drpepper,59,335,271,837
drpepper_0_916.jpg,1133,837,Drpepper,231,270,435,815
drpepper_0_916.jpg,1133,837,Drpepper,382,233,562,812
drpepper_0_916.jpg,1133,837,Drpepper,493,199,679,784
drpepper_0_916.jpg,1133,837,Drpepper,642,145,839,704
drpepper_0_916.jpg,1133,837,Drpepper,780,115,964,668
aa184.jpg,488,488,Fanta,5,17,200,305
aa184.jpg,488,488,Fanta,100,66,331,343
aa184.jpg,488,488,Fanta,225,108,464,396
aa52.jpg,488,488,Fanta,13,96,126,370
aa52.jpg,488,488,Fanta,124,109,228,375
aa52.jpg,488,488,Fanta,228,128,324,406
aa52.jpg,488,488,Fanta,323,139,432,397
drpepper_0_1743.jpg,415,283,Drpepper,76,25,255,283
drpepper_0_1743.jpg,415,283,Drpepper,225,9,414,283
aa415.jpg,498,395,Fanta,188,15,344,297
drpepper_0_1076.jpg,501,650,Drpepper,10,9,197,476
drpepper_0_1076.jpg,501,650,Drpepper,205,29,326,441
drpepper_0_1076.jpg,501,650,Drpepper,342,29,483,421
drpepper_0_2931.jpg,415,283,Drpepper,44,12,195,274
drpepper_0_2931.jpg,415,283,Drpepper,198,21,320,283
drpepper_0_2931.jpg,415,283,Drpepper,293,50,415,283
drpepper_0_1338.jpg,1316,858,Drpepper,238,24,660,487
drpepper_0_1338.jpg,1316,858,Drpepper,526,160,861,624
drpepper_0_1338.jpg,1316,858,Drpepper,713,279,1028,593
drpepper_0_1338.jpg,1316,858,Drpepper,907,398,1163,785
drpepper_0_2083.jpg,982,648,Drpepper,66,105,269,648
drpepper_0_2083.jpg,982,648,Drpepper,272,100,457,648
drpepper_0_2083.jpg,982,648,Drpepper,455,136,650,648
drpepper_0_2083.jpg,982,648,Drpepper,652,141,841,648
drpepper_0_498.jpg,1600,1067,Drpepper,319,7,1140,1067
drpepper_0_498.jpg,1600,1067,Drpepper,910,55,1452,855
drpepper_0_498.jpg,1600,1067,Drpepper,1278,29,1600,923
39.jpeg,300,168,Drpepper,7,43,68,166
39.jpeg,300,168,Drpepper,67,44,124,168
39.jpeg,300,168,Drpepper,124,44,176,168
39.jpeg,300,168,Drpepper,181,43,235,166
39.jpeg,300,168,Drpepper,247,37,293,167
aa49.jpg,800,1200,Fanta,267,48,546,861
aa337.jpg,194,259,Fanta,40,2,186,170
aa142.jpg,1300,601,Fanta,349,55,839,423
aa142.jpg,1300,601,Fanta,141,134,626,560
aa142.jpg,1300,601,Fanta,6,242,428,601
18.jpeg,600,600,Drpepper,11,117,148,497
18.jpeg,600,600,Drpepper,159,116,297,489
18.jpeg,600,600,Drpepper,309,116,441,502
18.jpeg,600,600,Drpepper,446,118,587,498
aa394.jpg,2500,2500,Fanta,1543,52,2414,2005
aa28.jpg,1300,957,Fanta,78,10,401,867
aa28.jpg,1300,957,Fanta,369,20,609,858
aa28.jpg,1300,957,Fanta,600,37,822,871
aa28.jpg,1300,957,Fanta,756,95,925,826
drpepper_0_4143.jpg,2268,4032,Drpepper,603,20,2136,3537
aa70.jpg,200,252,Fanta,58,66,187,252
drpepper_0_2445.jpg,366,250,Drpepper,15,41,189,250
drpepper_0_2445.jpg,366,250,Drpepper,124,9,275,246
drpepper_0_2445.jpg,366,250,Drpepper,227,2,366,231
drpepper_0_1582.jpg,259,194,Drpepper,20,1,114,122
drpepper_0_1582.jpg,259,194,Drpepper,97,29,171,140
drpepper_0_1582.jpg,259,194,Drpepper,139,61,259,194
aa417.jpg,194,259,Fanta,33,2,163,211
aa454.jpg,278,181,Fanta,101,60,146,171
aa454.jpg,278,181,Fanta,26,3,103,159
aa454.jpg,278,181,Fanta,181,92,214,156
aa8.jpg,1200,1200,Fanta,384,8,814,1200
aa188.jpg,259,194,Fanta,132,45,210,194
aa188.jpg,259,194,Fanta,88,64,163,194
aa188.jpg,259,194,Fanta,182,9,259,186
aa188.jpg,259,194,Fanta,31,87,103,194
drpepper_0_1343.jpg,225,225,Drpepper,6,4,80,103
drpepper_0_1343.jpg,225,225,Drpepper,14,45,87,159
drpepper_0_1343.jpg,225,225,Drpepper,54,76,125,195
drpepper_0_1343.jpg,225,225,Drpepper,100,62,189,225
aa308.jpg,800,600,Fanta,41,65,211,363
aa308.jpg,800,600,Fanta,121,71,298,384
aa308.jpg,800,600,Fanta,177,97,409,468
20.jpg,1600,900,Drpepper,794,61,1079,890
20.jpg,1600,900,Drpepper,1092,67,1402,900
aa363.jpg,1300,1014,Fanta,441,434,574,685
aa363.jpg,1300,1014,Fanta,530,418,660,671
aa363.jpg,1300,1014,Fanta,627,410,758,663
aa363.jpg,1300,1014,Fanta,720,399,846,647
aa363.jpg,1300,1014,Fanta,828,379,950,642
aa363.jpg,1300,1014,Fanta,921,363,1048,632
aa363.jpg,1300,1014,Fanta,1019,354,1150,617
aa363.jpg,1300,1014,Fanta,1121,332,1245,608
aa363.jpg,1300,1014,Fanta,1214,313,1300,602
drpepper_0_3439.jpg,225,225,Drpepper,21,6,114,225
aa178.jpg,1300,956,Fanta,126,183,617,951
aa178.jpg,1300,956,Fanta,513,184,845,956
aa331.jpg,194,259,Fanta,68,14,138,194
aa360.jpg,244,207,Fanta,46,11,121,199
aa222.jpg,225,225,Fanta,6,31,133,225
drpepper_0_3956.jpg,1316,858,Drpepper,458,30,817,539
drpepper_0_3956.jpg,1316,858,Drpepper,566,139,972,596
drpepper_0_3956.jpg,1316,858,Drpepper,736,273,1222,785
drpepper_0_3956.jpg,1316,858,Drpepper,787,295,1316,858
43.jpeg,283,178,Drpepper,4,2,39,147
43.jpeg,283,178,Drpepper,49,5,88,150
43.jpeg,283,178,Drpepper,98,9,139,148
43.jpeg,283,178,Drpepper,140,5,187,146
43.jpeg,283,178,Drpepper,189,5,235,149
43.jpeg,283,178,Drpepper,235,2,283,147
aa280.jpg,194,259,Fanta,69,63,105,138
aa280.jpg,194,259,Fanta,50,71,86,144
aa280.jpg,194,259,Fanta,15,86,55,158
aa280.jpg,194,259,Fanta,30,79,73,151
aa148.jpg,278,181,Fanta,106,22,156,140
aa148.jpg,278,181,Fanta,21,3,91,151
aa148.jpg,278,181,Fanta,186,20,232,100
aa384.jpg,225,225,Fanta,87,14,186,204
aa400.jpg,194,259,Fanta,43,41,137,259
50.jpg,512,512,Drpepper,173,21,343,484
drpepper_0_2379.jpg,283,178,Drpepper,225,36,283,175
drpepper_0_2379.jpg,283,178,Drpepper,186,24,239,170
drpepper_0_2379.jpg,283,178,Drpepper,154,5,203,138
drpepper_0_2379.jpg,283,178,Drpepper,114,1,170,113
38.jpeg,225,225,Drpepper,23,20,84,212
38.jpeg,225,225,Drpepper,87,19,143,213
38.jpeg,225,225,Drpepper,141,16,206,215
drpepper_0_994.jpg,640,360,Drpepper,3,2,81,313
drpepper_0_994.jpg,640,360,Drpepper,91,7,165,340
drpepper_0_994.jpg,640,360,Drpepper,169,6,259,346
drpepper_0_994.jpg,640,360,Drpepper,263,18,333,349
drpepper_0_994.jpg,640,360,Drpepper,344,20,419,353
drpepper_0_994.jpg,640,360,Drpepper,439,33,534,359
aa256.jpg,500,500,Fanta,30,10,318,363
aa256.jpg,500,500,Fanta,174,49,456,420
aa277.jpg,600,900,Fanta,172,19,575,749
drpepper_0_1993.jpg,636,900,Drpepper,221,13,636,611
drpepper_0_1993.jpg,636,900,Drpepper,30,61,452,677
aa367.jpg,800,533,Fanta,305,26,445,442
aa257.jpg,460,382,Fanta,20,71,244,322
aa257.jpg,460,382,Fanta,101,134,344,368
aa257.jpg,460,382,Fanta,237,194,442,373
